NAME,ZIP,LON,LAT,ADDRESS
Walt Whitman,11205,-73.97773263,40.6944897,93 Saint Edwards Street
Washington Irving,11237,-73.91220085,40.69749505,360 Irving Avenue
Williamsburgh,11211,-73.95755461,40.70693042,240 Division Avenue
Windsor Terrace,11218,-73.97675877,40.64875019,160 East 5th Street
Arverne,11692,-73.78404003,40.59314678,312 Beach 54 Street
Astoria,11102,-73.92874209,40.77237538,14-01 Astoria Boulevard
Auburndale,11358,-73.79634179,40.77374626,25-55 Francis Lewis Boulevard
Baisley Park,11436,-73.79167861,40.68031131,117-11 Sutphin Boulevard
Bay Terrace,11360,-73.7770109,40.78252384,18-36 Bell Boulevard
Bayside,11361,-73.76836198,40.76012558,214-20 Northern Boulevard
Bellerose,11426,-73.71710447,40.73516055,250-06 Hillside Avenue
Briarwood,11435,-73.81945312,40.71003456,85-12 Main Street
Broad Channel,11693,-73.82005266,40.60073211,16-26 Cross Bay Boulevard
Broadway,11103,-73.91862332,40.75852927,40-20 Broadway
Cambria Heights,11411,-73.74116314,40.69572261,218-13 Linden Boulevard
Queens Central Library,11432,-73.79467804,40.70787313,89-11 Merrick Boulevard
Corona,11368,-73.86197684,40.75089408,38-23 104 Street
Court Square,11101,-73.94442139,40.74689957,25-01 Jackson Avenue
Douglaston/Little Neck,11363,-73.73822944,40.76822543,249-01 Northern Boulevard
East Elmhurst,11369,-73.87386663,40.76242213,95-06 Astoria Boulevard
East Flushing,11358,-73.78430296,40.75754568,196-36 Northern Boulevard
Elmhurst <br> (Temporary location due to renovations),11373,-73.87797366,40.73830324,85-08 51 Avenue
Far Rockaway,11691,-73.75247942,40.60431351,1637 Central Avenue
Flushing,11355,-73.82888469,40.75777407,41-17 Main Street
Forest Hills,11375,-73.843015,40.72214695,108-19 71 Avenue
Fresh Meadows,11365,-73.78228144,40.74158266,193-20 Horace Harding Expressway
Glen Oaks,11004,-73.7148458,40.7451722,256-04 Union Turnpike
Glendale,11385,-73.87574435,40.70258525,78-60 73 Place
Hillcrest,11366,-73.7819193,40.72925482,187-05 Union Turnpike
Hollis,11423,-73.76232033,40.72016654,202-05 Hillside Avenue
Howard Beach,11414,-73.84180222,40.66381026,92-06 156 Avenue
Jackson Heights,11372,-73.88506932,40.75019609,35-51 81 Street
Kew Gardens Hills <br> (Temporary location),11367,-73.82226966,40.72693697,71-34 Main Street
Langston Hughes,11368,-73.86819939,40.7575773,100-01 Northern Boulevard
Laurelton,11413,-73.74567356,40.67695273,134-26 225 Street
Lefferts,11419,-73.8248297,40.68690729,103-34 Lefferts Boulevard
Lefrak City,11368,-73.86165593,40.73743414,98-30 57 Avenue
Long Island City,11101,-73.9393093,40.75780343,37-44 21 Street
Maspeth,11378,-73.89310456,40.72699537,69-70 Grand Avenue
McGoldrick,11354,-73.80983348,40.76375032,155-06 Roosevelt Avenue
Middle Village,11379,-73.88085935,40.71293388,72-31 Metropolitan Avenue
Mitchell-Linden,11354,-73.82694112,40.76914153,31-32 Union Street
North Forest Park,11375,-73.85367251,40.71115686,98-27 Metropolitan Avenue
North Hills,11362,-73.73183792,40.75925364,57-04 Marathon Parkway
Ozone Park <br> (Closed for renovations),11417,-73.84648846,40.68086718,92-24 Rockaway Boulevard
Peninsula,11693,-73.81606503,40.58586415,92-25 Rockaway Beach Boulevard
Pomonok,11365,-73.81009489,40.73292508,158-21 Jewel Avenue
Poppenhusen,11356,-73.84601807,40.7862131,121-23 14 Avenue
Queens Library for Teens,11691,-73.75351241,40.60239019,2002 Cornaga Avenue
Queens Village,11428,-73.73904906,40.71988833,94-11 217 Street
Queensboro Hill,11355,-73.82516996,40.74293095,60-05 Main Street
Queensbridge <br> Now a Family Literacy Center,11101,-73.94424079,40.75507372,10-43 41 Avenue
Ravenswood <br> Now a Family Literacy Center,11106,-73.93640397,40.76067995,35-32 21 Street
Rego Park,11374,-73.86450283,40.72731656,91-41 63 Drive
Richmond Hill,11418,-73.83164233,40.7007972,118-14 Hillside Avenue
Ridgewood,11385,-73.90258828,40.70522689,20-12 Madison Street
Rochdale Village,11434,-73.77059022,40.6728752,169-09 137 Avenue
Rosedale,11422,-73.73991101,40.65996362,144-20 243 Street
Seaside,11694,-73.83774701,40.57940488,116-15 Rockaway Beach Boulevard
South Hollis,11412,-73.7537974,40.70700391,204-01 Hollis Avenue
South Jamaica,11433,-73.79021187,40.69561112,108-41 Guy R. Brewer Boulevard
South Ozone Park,11420,-73.80926183,40.67478395,128-16 Rockaway Boulevard
St.Albans,11412,-73.76007289,40.69249997,191-05 Linden Boulevard
Steinway,11105,-73.90945659,40.77682707,21-45 31 Street
Sunnyside,11104,-73.92166803,40.7408467,43-06 Greenpoint Avenue
Whitestone,11357,-73.81070184,40.78854019,151-10 14 Road
Windsor Park,11364,-73.75561942,40.73450483,79-50 Bell Boulevard
Woodhaven,11421,-73.86145742,40.69453115,85-41 Forest Parkway
Woodside,11377,-73.90979374,40.74534171,54-22 Skillman Avenue
